Id,Start,Name,Impact,Currency
43fca825-f784-4873-acf0-197a91613fe3,11/20/2025 05:30:00,Consumer Confidence Adj,LOW,EUR
1bf2ebad-b8e9-4890-b5a4-5f0798c6cc8b,11/20/2025 05:30:00,Unemployment Rate s.a (3M),LOW,EUR
a0b8c700-8fea-4342-b8b8-868d2a1a58eb,12/01/2025 05:30:00,Retail Sales (YoY),LOW,EUR
6c02a160-b0d0-4801-946d-388b241f8349,12/01/2025 06:00:00,Nevi Manufacturing PMI,LOW,EUR
227596b5-51db-473b-9bbc-261896dbaef0,12/09/2025 05:30:00,Consumer Price Index n.s.a (YoY),LOW,EUR
082baa3d-c829-47ab-bd73-36e8a09826dc,12/10/2025 05:30:00,Consumer Spending Volume,LOW,EUR
a6d7f6ec-2ed3-4f61-b7bf-f1d042bbef78,12/10/2025 05:30:00,Manufacturing Output (MoM),LOW,EUR
3580cb9e-8bc1-4a85-9462-963b0a7fdfb7,12/18/2025 05:30:00,Unemployment Rate s.a (3M),LOW,EUR
c531939c-fd16-4285-bec5-6354968f12ae,12/22/2025 05:30:00,Consumer Confidence Adj,LOW,EUR
50e7e176-4821-4ab3-9133-4b148396bcf5,12/23/2025 05:30:00,Gross Domestic Product n.s.a (YoY),LOW,EUR
084baf57-850d-4fa1-97e1-7e1e88337c40,12/23/2025 05:30:00,"Gross Domestic Product s.a (QoQ) ",LOW,EUR
59bccb37-037f-41b7-90de-df28cf8d0e30,01/02/2026 06:00:00,Nevi Manufacturing PMI,LOW,EUR
845e78f4-51bb-4e9c-9327-44a3b67b0ff9,01/06/2026 05:30:00,Retail Sales (YoY),LOW,EUR
9d280dae-eb8a-4de0-849b-b56311ac5f31,01/08/2026 05:30:00,Consumer Price Index n.s.a (YoY),LOW,EUR
743e2345-f89d-46f8-84fe-bd42c2eb6f6e,01/09/2026 05:30:00,Manufacturing Output (MoM),LOW,EUR
c02ba73f-0e2a-469d-ab3d-2c7c7dd52336,01/12/2026 05:30:00,Consumer Spending Volume,LOW,EUR
ebca3fbc-af41-4e74-b1d2-1f383a2a4116,01/15/2026 05:30:00,Unemployment Rate s.a (3M),LOW,EUR
fbaf6311-fd9e-4179-a150-ccc377bc6b50,01/20/2026 05:30:00,Consumer Confidence Adj,LOW,EUR
48d30944-fa55-44e6-a508-5ee45c452ad8,02/17/2026 08:30:00,Gross Domestic Product n.s.a (YoY),LOW,EUR
56d2da6a-57d7-489c-bcc3-d9d4981c657f,02/17/2026 08:30:00,"Gross Domestic Product s.a (QoQ) ",LOW,EUR
