Id,Start,Name,Impact,Currency
a3908d06-66d8-425c-9229-6669e1d679fe,12/30/2025 23:00:00,Consumer Price Index Growth (MoM),LOW,KRW
4404fad7-fd9d-480d-8421-eee09a9d7529,12/30/2025 23:00:00,Consumer Price Index Growth (YoY),LOW,KRW
54264641-0507-4370-ba39-a0bdedd045f9,01/01/2026 00:00:00,Trade Balance,LOW,KRW
8bbc8d83-4ec5-4177-9781-708e94a45419,01/02/2026 00:30:00,S&P Global Manufacturing PMI,LOW,KRW
0e8e0e7e-ab53-44c8-a55c-e75bbdccc50a,01/05/2026 21:00:00,FX Reserves,LOW,KRW
66fd0247-f0d3-4f93-96f2-1303c5d0f56c,01/08/2026 23:00:00,Current Account Balance,LOW,KRW
d91ba905-b247-444c-8134-51f3ae534685,01/13/2026 21:00:00,Export Price Growth (YoY),LOW,KRW
1a9561cd-12eb-4cce-8193-9173f259494a,01/13/2026 21:00:00,Import Price Growth (YoY),LOW,KRW
61729731-1938-45d7-8e0b-cee0af35c265,01/13/2026 23:00:00,Unemployment Rate,LOW,KRW
37a89a6f-fc9d-4947-a031-b4c0cb0fdfbf,01/15/2026 03:00:00,Money Supply Growth,LOW,KRW
7af60a31-9440-408d-8c77-6b478d531f50,01/15/2026 23:55:00,Trade Balance,LOW,KRW
b305689b-2664-45d8-ba83-28f34a125a2f,01/19/2026 21:00:00,Producer Price Index Growth (MoM),LOW,KRW
e85a2179-ecde-4850-98ce-ebb1e2cc3bd3,01/19/2026 21:00:00,Producer Price Index Growth (YoY),LOW,KRW
44fa2ce1-7060-4b27-a886-83c922b3a27b,01/21/2026 23:00:00,"Gross Domestic Product Growth (QoQ) ",MEDIUM,KRW
051483b9-76a8-4881-9845-01f0c24c216f,01/21/2026 23:00:00,Gross Domestic Product Growth (YoY),LOW,KRW
47410746-5eec-45a4-9032-d42b88f59735,01/22/2026 21:00:00,Consumer Sentiment Index,LOW,KRW
ba4e3f60-71b9-4d30-9d46-52f88332b68c,01/26/2026 21:00:00,BOK Manufacturing BSI,LOW,KRW
4acb2aeb-21bd-4299-90ec-17642e07cfb9,01/27/2026 01:00:00,BoK Interest Rate Decision,MEDIUM,KRW
747497d4-a396-46b4-8890-2fa134937b6d,01/29/2026 23:00:00,Industrial Output (YoY),LOW,KRW
9735a002-2063-42aa-a428-9b0a7337b43f,01/29/2026 23:00:00,Industrial Output Growth,LOW,KRW
2329df3c-ccba-45d3-b419-b73b5acf2de8,01/29/2026 23:00:00,Service Sector Output,LOW,KRW
