Id,Start,Name,Impact,Currency
2a2ddfbf-f537-4201-9c7d-d5361949af67,12/30/2025 07:00:00,Current Account,LOW,THB
3fabe90d-0c1e-401a-9907-a1c2d724f9f6,12/30/2025 07:00:00,Private Consumption Index,LOW,THB
cc6a5b01-9851-4c5a-9777-6df1b8583265,12/30/2025 07:00:00,Private Investment Index,LOW,THB
ab7ae6ea-85ca-46ac-85cc-abf970319b7c,12/30/2025 07:00:00,Trade Balance,LOW,THB
32653195-7c8c-4191-90af-c58f245d64d8,01/06/2026 03:30:00,Consumer Price Index (YoY),LOW,THB
14d0f617-de2d-4b10-810f-d533e3599c9d,01/06/2026 03:30:00,Core Consumer Price Index (YoY),LOW,THB
abe3f359-4a1b-42b1-8a49-c62ecc6cd06e,01/27/2026 03:30:00,Customs-Based Trade Balance,LOW,THB
8d186b6e-30e6-4217-9672-b6bf79d0fb96,01/30/2026 07:00:00,Current Account,LOW,THB
2dcef943-274e-4c0c-b174-fc1a2bb6bfb2,01/30/2026 07:00:00,Private Consumption Index,LOW,THB
61805322-b99f-4a21-a192-d661417fd13c,01/30/2026 07:00:00,Private Investment Index,LOW,THB
9fe57ab7-870f-40a6-b5fb-00059c4dac32,01/30/2026 07:00:00,Trade Balance,LOW,THB
8dc3aa4b-6e81-4f89-aa2a-cd6590b991af,02/23/2026 02:30:00,Gross Domestic Product (YoY),LOW,THB
e4907ae2-c567-4a8c-9f00-eda6c5958033,02/23/2026 02:30:00,Gross Domestic Product s.a. (QoQ),LOW,THB
