Id,Start,Name,Impact,Currency,Event_Type,Impact_score,MacroCateg
50e7e176-4821-4ab3-9133-4b148396bcf5,12/24/2025 05:30:00,Gross Domestic Product n.s.a (YoY),HIGH,EUR,Release,0.722,Growth
084baf57-850d-4fa1-97e1-7e1e88337c40,12/24/2025 05:30:00,Gross Domestic Product s.a (QoQ) ,HIGH,EUR,Release,0.722,Growth
59bccb37-037f-41b7-90de-df28cf8d0e30,01/02/2026 06:00:00,Nevi Manufacturing PMI,HIGH,EUR,Release,0.722,Growth
845e78f4-51bb-4e9c-9327-44a3b67b0ff9,01/05/2026 05:30:00,Retail Sales (YoY),HIGH,EUR,Release,0.722,Growth
9d280dae-eb8a-4de0-849b-b56311ac5f31,01/08/2026 05:30:00,Consumer Price Index n.s.a (YoY),HIGH,EUR,Release,0.807,Inflation
743e2345-f89d-46f8-84fe-bd42c2eb6f6e,01/09/2026 05:30:00,Manufacturing Output (MoM),HIGH,EUR,Release,0.722,Growth
c02ba73f-0e2a-469d-ab3d-2c7c7dd52336,01/12/2026 05:30:00,Consumer Spending Volume,HIGH,EUR,Release,0.595,Confidence
ebca3fbc-af41-4e74-b1d2-1f383a2a4116,01/15/2026 05:30:00,Unemployment Rate s.a (3M),HIGH,EUR,Release,0.765,Labor Market
fbaf6311-fd9e-4179-a150-ccc377bc6b50,01/20/2026 05:30:00,Consumer Confidence Adj,HIGH,EUR,Release,0.595,Confidence
48d30944-fa55-44e6-a508-5ee45c452ad8,02/17/2026 08:30:00,Gross Domestic Product n.s.a (YoY),HIGH,EUR,Release,0.722,Growth
56d2da6a-57d7-489c-bcc3-d9d4981c657f,02/17/2026 08:30:00,Gross Domestic Product s.a (QoQ) ,HIGH,EUR,Release,0.722,Growth
