Id,Start,Name,Impact,Currency,Event_Type,Impact_score,MacroCateg
3905185a-1ffe-462c-b21f-b921b9d6d693,12/16/2025 13:00:00,Net Inflation,HIGH,PLN,Release,0.19,Inflation
93e38cdc-10ca-42ff-9457-f53411692690,12/18/2025 09:00:00,Corporate Sector Wages,LOW,PLN,Release,0.09,Money and Credit
5c06e030-2f16-471d-9619-d6750dd32b4b,12/18/2025 09:00:00,Industrial Output (YoY),HIGH,PLN,Release,0.17,Growth
43521e49-597f-4185-b0e9-bb52ea627b7b,12/18/2025 09:00:00,Producer Price Index (YoY),HIGH,PLN,Release,0.19,Inflation
7e012ec3-3bff-4168-b224-fe2aad69b5c3,12/22/2025 09:00:00,Retail Sales (YoY),HIGH,PLN,Release,0.17,Growth
babeb246-1ad4-4126-8d91-706765e4d862,12/22/2025 13:00:00,M3 Money Supply (YoY),HIGH,PLN,Release,0.19,Inflation
17763b42-b14d-4d6f-a347-864bd86463f5,12/23/2025 09:00:00,Unemployment (MoM),HIGH,PLN,Release,0.18,Labor Market
64f8b1e1-3dff-437e-9b7d-7bae62854d44,01/02/2026 08:00:00,S&P Global Manufacturing PMI,HIGH,PLN,Release,0.17,Growth
a3e7f726-e3bd-4e17-bdef-cb98529f9114,01/07/2026 13:00:00,Central Bank FX Reserves,LOW,PLN,Release,0.09,Money and Credit
308c0e68-a7a3-4d8e-aae7-c2c4986db298,01/13/2026 13:00:00,Current Account,MEDIUM,PLN,Release,0.11,Trade and External
7871ff2d-51d7-4c3e-b79b-ac986a98a57c,01/15/2026 09:00:00,Consumer Price Index (MoM),HIGH,PLN,Release,0.19,Inflation
3101a8fd-7ab0-41bf-a687-09fcf2db4b3a,01/15/2026 09:00:00,Consumer Price Index (YoY),HIGH,PLN,Release,0.19,Inflation
dde8c807-a2a6-4567-a127-84bb97f9fd5d,01/16/2026 13:00:00,Net Inflation,HIGH,PLN,Release,0.19,Inflation
963a11ee-2741-4473-896e-aec095ea2ef7,01/20/2026 09:00:00,Corporate Sector Wages,LOW,PLN,Release,0.09,Money and Credit
5bfb05b3-f803-408c-a5eb-408a1d2ecd53,01/20/2026 09:00:00,Industrial Output (YoY),HIGH,PLN,Release,0.17,Growth
b3d9fb82-be68-414b-b1d2-55ff62b9a0aa,01/20/2026 09:00:00,Producer Price Index (YoY),HIGH,PLN,Release,0.19,Inflation
bb39946f-f712-45bb-84f1-539f55124a03,01/22/2026 09:00:00,Retail Sales (YoY),HIGH,PLN,Release,0.17,Growth
28e51229-89fa-449d-9f63-cd37b4534c9f,01/23/2026 09:00:00,Unemployment (MoM),HIGH,PLN,Release,0.18,Labor Market
d1ffe2e2-441b-4eec-8b91-671ae8628b99,01/23/2026 13:00:00,M3 Money Supply (YoY),HIGH,PLN,Release,0.19,Inflation
7d42da1f-d214-4fae-82a1-5710dc3eca1f,02/17/2026 09:00:00,Gross Domestic Product Qtr (YoY),HIGH,PLN,Release,0.17,Growth
a8729e04-9298-4ecc-bc71-9ccced860160,03/02/2026 09:00:00,Gross Domestic Product Qtr (YoY),HIGH,PLN,Release,0.17,Growth
