Id,Start,Name,Impact,Currency,Event_Type,Impact_score,MacroCateg
fecf2728-b76a-408c-be7f-aa6e0dab991e,12/18/2025 07:45:00,Business Climate in Manufacturing,HIGH,EUR,Release,0.595,Confidence
6cc96e52-143d-4fef-87c9-6b4c817a3fab,12/19/2025 07:45:00,Producer Prices (MoM),HIGH,EUR,Release,0.807,Inflation
dcfd60a8-31f8-4f2a-8202-c56820858c83,01/01/2026 09:50:00,10-y Bond Auction,HIGH,EUR,Release,0.383,Money and Credit
b7e72cb6-ac59-4cd4-98d1-d5dd9110e4f9,01/02/2026 08:50:00,HCOB Manufacturing PMI,HIGH,EUR,Release,0.722,Growth
1d8d27a5-9af3-42d1-8fd5-44de4dcb065d,01/05/2026 08:50:00,HCOB Composite PMI,HIGH,EUR,Release,0.722,Growth
af61e9b7-89c2-4b6a-b466-d8ac4d682dee,01/05/2026 08:50:00,HCOB Services PMI,HIGH,EUR,Release,0.722,Growth
8047600d-e06d-4c0f-9820-251cf3e68573,01/06/2026 07:45:00,Consumer Price Index (EU norm) (MoM),HIGH,EUR,Release,0.807,Inflation
570743bb-22f1-4a6f-8e57-ffdfccad4b3b,01/06/2026 07:45:00,Consumer Price Index (EU norm) (YoY),HIGH,EUR,Release,0.807,Inflation
271d1134-f376-406e-bdd6-b68d8dbb43a2,01/07/2026 07:45:00,Consumer Confidence,HIGH,EUR,Release,0.595,Confidence
29b0361b-7d3b-4ce5-bf7f-13e589d7c354,01/08/2026 07:45:00,Current Account,HIGH,EUR,Release,0.468,Trade and External
d0a55c60-e2a4-496f-bdf9-1074b0b40f87,01/08/2026 07:45:00,"Exports, EUR",HIGH,EUR,Release,0.468,Trade and External
446aa446-440d-4fd7-9de4-dc2ba54f71d1,01/08/2026 07:45:00,"Imports, EUR",HIGH,EUR,Release,0.468,Trade and External
5051a86e-addf-49d6-966a-d4c5a293b96e,01/08/2026 07:45:00,Trade Balance EUR,HIGH,EUR,Release,0.468,Trade and External
69dc3705-3e90-4bea-9eef-0b06f8f62264,01/09/2026 07:45:00,Consumer Spending (MoM),HIGH,EUR,Release,0.722,Growth
3853f045-5a15-4002-a946-a9880122251e,01/09/2026 07:45:00,Industrial Output (MoM),HIGH,EUR,Release,0.722,Growth
54b6290f-174c-46cd-bdfa-e663cd124c44,01/13/2026 07:45:00,Budget Balance,HIGH,EUR,Release,0.468,Trade and External
ae507538-be1b-4491-954b-ba726ca2d75f,01/13/2026 07:45:00,Inflation ex-tobacco (MoM),HIGH,EUR,Release,0.807,Inflation
a28aff88-857b-4128-8cf6-5a40483b230f,01/15/2026 07:45:00,Consumer Price Index (EU norm) (MoM),HIGH,EUR,Release,0.807,Inflation
e8ca2325-f716-4724-8d2d-d7f8e650fd7f,01/15/2026 07:45:00,Consumer Price Index (EU norm) (YoY),HIGH,EUR,Release,0.807,Inflation
3dfe335a-6183-4793-ab5a-087a0956f75b,01/23/2026 07:45:00,Business Climate in Manufacturing,HIGH,EUR,Release,0.595,Confidence
ee58b5ed-20d5-4411-82a0-3aeb6e5cede6,01/23/2026 08:15:00,HCOB Composite PMI,HIGH,EUR,Release,0.722,Growth
19c86ae7-f0e2-4a20-b23d-d94bbc31b4a8,01/23/2026 08:15:00,HCOB Manufacturing PMI,HIGH,EUR,Release,0.722,Growth
