Id,Start,Name,Impact,Currency,Event_Type,Impact_score,MacroCateg
48140eb4-5096-46c4-a96d-c36906fb562f,12/16/2025 22:00:00,BCCH Interest Rate,HIGH,CLP,Release,0.2,Monetary Policy
48e4dbe6-db0d-403d-ac9a-02190fcbbc26,12/30/2025 12:00:00,Unemployment rate,HIGH,CLP,Release,0.18,Labor Market
ccac7437-7a68-45d8-8472-09148c6af5b5,12/31/2025 12:00:00,Industrial Production (YoY),HIGH,CLP,Release,0.17,Growth
79423004-9346-4d18-862b-5323a1f2560c,01/02/2026 11:30:00,IMACEC,HIGH,CLP,Release,0.2,Monetary Policy
3e505fa8-b1ba-4e4a-9b8e-a225935555ab,01/07/2026 11:30:00,Trade Balance,MEDIUM,CLP,Release,0.11,Trade and External
51029ed5-dcaa-4d9e-b14b-9a629ba085fd,01/08/2026 11:00:00,Consumer Price Index (Inflation) (MoM),HIGH,CLP,Release,0.19,Inflation
72e5f8b5-4066-46ee-8def-9c007b7c5b03,01/08/2026 11:00:00,Core Consumer Price Index (Inflation) (MoM),HIGH,CLP,Release,0.19,Inflation
2e25512d-d613-48d1-aca8-5312c83858f6,01/30/2026 12:00:00,Industrial Production (YoY),HIGH,CLP,Release,0.17,Growth
3288f647-27e6-4856-a17a-a5d93e7eb625,01/30/2026 12:00:00,Unemployment rate,HIGH,CLP,Release,0.18,Labor Market
7bc37827-bb04-4b67-871f-10565d67ffe2,03/18/2026 11:30:00,Gross Domestic Product (YoY),HIGH,CLP,Release,0.17,Growth
